Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
Gene Expression (Reactome)	-1.372486359	6.900029263	-4.197513335	0.001436007	0.081359286	-0.823385996	"AAAS,AARS,AARS2,AIMP1,AIMP2,AR,CARS,CARS2,CCAR1,CCNC,CCNH,CCNT1,CCNT2,CD2BP2,CDC40,CDK7,CDK8,CDK9,CLP1,NELFB,CPSF1,CPSF2,CPSF3,CPSF7,CREBBP,CSTF1,CSTF2,CSTF3,CTDP1,DARS,DARS2,DDX23,DHX38,DHX9,DNAJC8,EARS2,EEF1A1,EEF1B2,EEF1D,EEF1E1,EEF1G,EEF2,EFTUD2,EIF1AX,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4EBP1,EIF4G1,EIF4H,EIF5,EIF5B,ELL,EPRS,ERCC2,ERCC3,ESR1,ESR2,ESRRA,ESRRB,ESRRG,ETF1,FARS2,FARSA,FARSB,FAU,FUS,GARS,GSPT2,GTF2A1,GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,HARS,HARS2,HNF4A,HNF4G,HNRNPA0,HNRNPA1,HNRNPA2B1,HNRNPA3,HNRNPC,HNRNPD,HNRNPF,HNRNPH1,HNRNPH2,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,IARS,IARS2,KARS,KAT2A,KAT2B,LARS,LARS2,LSM10,LSM11,LSM2,MAGOH,MAML1,MAML2,MAML3,MAMLD1,MARS,MARS2,MED1,MED10,MED12,MED13,MED14,MED15,MED16,MED17,MED20,MED23,MED24,MED25,MED26,MED27,MED30,MED31,MED4,MED6,MED7,MED8,METTL3,MNAT1,NARS,NARS2,NCBP1,NCBP2,NFX1,SNU13,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NR0B1,NR0B2,NR1D1,NR1D2,NR1H2,NR1H3,NR1H4,NR1I2,NR1I3,NR2C1,NR2C2,NR2C2AP,NR2E1,NR2E3,NR2F1,NR2F6,NR3C1,NR3C2,NR4A1,NR4A2,NR4A3,NR5A1,NR5A2,NR6A1,NRBF2,NRBP1,NUDT21,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUP98,NUP58,NUPL2,NXF1,PABPC1,PABPN1,PAPOLA,PARS2,PCBP1,PCBP2,PCF11,PGR,PHF5A,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,PPA1,PPA2,PPARA,PPARD,PPARG,PRPF4,PRPF6,PRPF8,PTBP1,QARS,RAE1,RANBP2,RARA,RARB,RARG,RARS,RARS2,RBM5,RBM8A,RBMX,RBPJ,NELFE,RNGTT,RNMT,RNPS1,RORA,RORB,RORC,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RXRA,RXRB,RXRG,SARS,SARS2,SEH1L,SF3A1,SF3A2,SF3A3,SF3B1,SF3B6,SF3B2,SF3B3,SF3B4,SF3B5,SUGP1,SLBP,SMC1A,SNRNP200,SNRNP40,SNRNP70,SNRPA,SNRPA1,SNRPB,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,SNW1,SRRM1,SSRP1,SUPT16H,SUPT4H1,SUPT5H,TAF1,TAF10,TAF11,TAF12,TAF13,TAF4,TAF4B,TAF5,TAF6,TAF9,TARS,TARS2,TBP,TCEA1,ELOC,ELOB,ELOA,NELFCD,ALYREF,THRA,THRB,TPR,TXNL4A,U2AF1,U2AF2,UBA52,UPF3B,VARS,VARS2,VDR,WARS,WARS2,NELFA,YARS,YARS2,YBX1,ZNF473"
Translation Factors (Wikipathways)	-1.238613994	7.360964201	-3.996279633	0.002028412	0.081359286	-1.151117945	"EIF4EP2,NA,EIF1,PAIP1,EIF5AL1,EEF1A1,EEF1A2,EEF1B2,EEF1D,EEF1G,EEF2,EIF1AX,EIF2S1,EIF2B1,EIF2S3,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4EBP1,EIF4EBP2,EIF4G1,EIF5,EIF5A,ETF1,CLUH,GSPT2,PABPC1,EIF2AK1,EEF2K,EIF3E,EIF6,LOC390282,EIF2AK2,LOC645139,TUT1,EIF1P3,EIF4H,EIF4EBP3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF4G3,EIF2B4,EIF2B3,EIF2B2,EIF2B5,EIF2S2,EIF1AY,EIF2AK3,EIF5B"
Biogenic Amine Synthesis (Wikipathways)	-1.824028297	5.505332727	-3.992845757	0.002040486	0.081359286	-1.156752085	"CHAT,COMT,AANAT,DBH,DDC,GAD1,GAD2,HDC,MAOA,ACHE,ASMT,PAH,PNMT,TH,TPH1"
"Complement Activation, Classical Pathway (Wikipathways)"	-0.148833869	4.16409606	3.991826117	0.002044086	0.081359286	-1.158425318	"NA,NA,CD55,MASP1,NA,C1QA,C1QB,C1QC,C1R,C1S,C2,C3,C4A,C4B,C5,C6,C7,C8A,C8B,C9"
Nicotine metabolism (Wikipathways)	-0.416511925	2.579445721	3.956468143	0.002173075	0.081359286	-1.216520015	"CYP2A6,CYP2A7,CYP2B6,FMO3,AOX1,UGT1A9,UGT1A4"
"{CTSB,26} (Static Module)"	-1.71379743	5.888580189	-3.952554276	0.002187863	0.081359286	-1.222959198	"ADAMTS10,ADAMTS12,ADAMTS14,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS6,ADAMTS7,CST3,CST5,CST7,CSTB,CTSB,CTSC,CTSH,CTSK,CTSL,CTSV,NA,CTSS,CTSZ,LST1,METAP1D,METAP1"
"{LRP1,11} (Static Module)"	-1.540594262	7.753323925	3.929755599	0.002276106	0.081359286	-1.260501346	"LDLR,LDLRAP1,LRP1,LRP2,LRP8,LRPAP1,PAFAH1B2,RELN,SCGB1A1,SNX17,VLDLR"
Phototransduction (KEGG)	-1.434202175	7.361599704	-3.901850335	0.002389159	0.081359286	-1.30652851	"CNGB1,CNGA1,GRK7,CALML6,GNAT1,GNAT2,GNB1,GNGT1,GUCA1A,GUCA1B,GUCY2F,GUCY2D,GNAT3,ARRB1,ARRB2,PDE6A,PDE6G,PDE6B,CALML5,RCVRN,RHO,GRK1,CALM1,CALM2,CALM3,CALML3,RGS9,SLC24A1,GUCA1C"
Nitrogen metabolism (KEGG)	-1.597714367	5.765605117	-3.863989208	0.00255192	0.081359286	-1.369107524	"CA5B,CPS1,CTH,CA14,GLS2,GLS,GLUD1,GLUD2,AMT,GLUL,HAL,CA13,ASNS,CA1,CA2,CA3,CA4,CA5A,CA6,CA7,CA8,CA9,CA12"
IL-4 down reg. targets (Netpath)	-1.530162701	7.431258047	3.859806251	0.002570594	0.081359286	-1.376030383	"CYP2A6,C1orf105,BCL6,AMN,ITGA2,VIM,TNF,TLR5,TLR4,TLR3,CAV3,CCL2,CXCL2,CLTB,CLEC2B,CLDN18,CHST2,CHI3L1,CDKN1A,CD9,CCL20,TLR2,TIMP1,TCF7,IL2RA,IL18,IL17RA,ID3,ICAM1,CYSLTR2,CHST10,ALOX5AP,ALOX5,IL6,CXCL8,PTGS2,NOS2,NFKBIA,COX1,MMP3,LY96,LTB4R,KLK6,IRF1,CDKN1B,DDIT4,ZDHHC17,POU2AF1,PDGFB,NPAS2,NINJ1,NDRG4,MX1,MFNG,LTB,LPL,RAB11B,RASGRP3,WIZ,UBE2L6,TRPV5,TNS1,TNFSF10,CD27,STAT1,SPP1,SNAPC4,LITAF,LGALS2,LAMA3,GEM,GBP2,GAS1,GADD45B,IFI6,CCDC71,FCER1G,EGFR,DST,GJA4,GZMA,KLHL18,KLF15,KIT,KCNN2,ITPKB,IL7R,IFI16,HOXB6,HLA-DQB1"
Inflammatory Response Pathway (Wikipathways)	-1.185747601	6.443687065	3.77552752	0.002978499	0.089780457	-1.515880525	"COL1A1,COL1A2,COL3A1,FN1,IFNG,IL2,IL2RA,IL2RB,IL2RG,IL4,IL4R,IL5,IL5RA,LAMA5,LAMB1,LAMB2,LAMC1,LAMC2,LCK,SEBOX,THBS1,THBS3,TNFRSF1A,TNFRSF1B,VTN,ZAP70,CD28,CD80,CD86,CD40,CD40LG"
"{TCF3,20} (Static Module)"	-1.548252216	7.017585625	-3.723767395	0.003261639	0.093846242	-1.602100377	"ASCL3,ATOH1,BHLHA15,CSRP3,GOLGA8B,HES5,ID1,ID2,ID3,ID4,LMO1,LMO2,LMO4,MSC,MYF5,MYF6,MYOD1,MYOG,TCF3,TCF4"
Vitamin B6 metabolism (KEGG)	-1.921971414	6.666711781	-3.673799867	0.003561355	0.098014689	-1.685555733	"PSAT1,AOX1,PHOSPHO2,PNPO,PDXP,PDXK"
Metabolism of proteins (Reactome)	-1.144686792	7.17297747	-3.551799404	0.004418235	0.116530937	-1.890143378	"ACTB,ALG1,ALG10,ALG10B,ALG11,ALG12,ALG13,ALG14,ALG2,ALG3,ALG5,ALG6,ALG8,ALG9,AP3M1,ARFGEF2,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,CALR,CANX,CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,DAD1,DDOST,DHPS,DOHH,DOLK,DOLPP1,DPAGT1,DPM1,DPM2,DPM3,EDEM1,EDEM2,EDEM3,EEF1A1,EEF1B2,EEF1D,EEF1G,EEF2,EIF1AX,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4EBP1,EIF4G1,EIF4H,EIF5,EIF5A,EIF5A2,EIF5B,ETF1,F10,F2,F7,F9,FAU,FBXL3,FBXL5,FBXO4,FBXO6,FBXW10,FBXW2,FBXW4,FBXW5,FBXW7,FBXW9,FKBP9,FURIN,FUT8,GANAB,GAS6,GFPT1,GFPT2,GGCX,GMPPA,GMPPB,GNPNAT1,GPAA1,GSPT2,KIF13A,KIFC3,LMAN1,LONP2,MAN1A1,MAN1A2,MAN1B1,MAN1C1,MAN2A1,MAN2A2,MANEA,MCFD2,MGAT1,MGAT2,MGAT3,MGAT4A,MGAT4B,MGAT4C,MGAT5,MLEC,MOGS,MPI,NOP56,PABPC1,PDIA3,PFDN1,PFDN2,PFDN4,PFDN5,PFDN6,PGAP1,PGM3,PIGA,PIGB,PIGC,PIGF,PIGG,PIGH,PIGK,PIGL,PIGM,PIGN,PIGO,PIGP,PIGQ,PIGS,PIGT,PIGU,PIGV,PIGW,PIGX,PLAUR,PMM1,PMM2,PREB,PRKCSH,PROC,PROS1,PROZ,RFT1,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPN1,RPN2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SAR1B,SEC13,SEC23A,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SEMA6D,SKIV2L,SPHK1,ST3GAL4,ST6GAL1,ST8SIA2,ST8SIA3,ST8SIA6,STT3A,TBCA,TBCB,TBCC,TBCD,TBCE,TCP1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA4A,TUBB1,TUBB2A,TUBB2B,TUBB4B,TUBB3,TUBB4A,TUBB7P,TUBB6,TUSC3,UAP1,UBA52,UGGT1,UGGT2,USP11,VBP1,VKORC1,XRN2"
"{CALM1,30} (Static Module)"	-2.167559369	6.622026964	-3.434121839	0.005445928	0.134045522	-2.088416427	"ASPM,CALM1,CALML3,CALML5,CALML6,CAMK2A,CAMK2B,CAMK2D,CAMK2G,GYS1,GYS2,IQCN,MYO10,NAGA,PDE1A,PDE1B,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PPEF1,PPP1R1A,PPP1R3A,PPP1R3B,PPP1R3C,PPP1R3D,PYGB,PYGL,PYGM"
Maturity onset diabetes of the young (KEGG)	-2.226716024	5.74815826	-3.427983422	0.005505819	0.134045522	-2.098779896	"BHLHA15,NR5A2,GCK,HHEX,MNX1,FOXA2,FOXA3,HNF4A,HNF4G,ONECUT1,HES1,IAPP,INS,PDX1,MAFA,NEUROD1,NKX2-2,NKX6-1,NEUROG3,PAX4,PAX6,PKLR,SLC2A2,HNF1A,HNF1B"
